movie_name,genre,year,rating
Woody Woodpecker,Animation,2017,4.2
David's Dinosaur,Animation,2017,4.2
Alicia's Dream,Animation,2017,4.2
Family Games,Animation,2017,4.2
The Current War,Animation,2017,4.2
Can't Take It Back,Animation,2017,4.2
Silhouettes,Animation,2017,4.2
Orpheus Rising,Animation,2017,4.2
Alguém Como Eu,Animation,2017,4.2
Police State,Animation,2017,4.2
1 Mile to You,Animation,2017,4.2
Fauves,Animation,2017,4.2
Something Like Summer,Animation,2017,4.2
Ned Venture,Animation,2017,4.2
Concealed,Animation,2017,4.2
In Search of Liberty,Animation,2017,4.2
Nothing Man,Animation,2017,4.2
The Diana Clone,Animation,2017,4.2
The Mountain Between Us,Animation,2017,4.2
Kaufman's Game,Animation,2017,4.2
Valerian and the City of a Thousand Planets,Animation,2017,4.2
Bumpin Uglies,Animation,2017,4.2
Lady Luck,Animation,2017,4.2
The Forgiven,Animation,2017,4.2
Spider-Man: Homecoming,Animation,2017,4.2
High & Outside: a baseball noir,Animation,2017,4.2
First Law,Animation,2017,4.2
Occhi Chiusi,Animation,2017,4.2
Alabama Dirt,Animation,2017,4.2
Doobious Sources,Animation,2017,4.2
Blood Demon Rising,Animation,2017,4.2
Untouched,Animation,2017,4.2
Man with Van,Animation,2017,4.2
The Runner,Animation,2017,4.2
Misirlou,Animation,2017,4.2
Jumanji: Welcome to the Jungle,Animation,2017,4.2
Retreat,Animation,2017,4.2
The Fitzroy,Animation,2017,4.2
My Friend Dahmer,Animation,2017,4.2
The Street Where We Live,Animation,2017,4.2
Americons,Animation,2017,4.2
Sessiz Ciglik,Animation,2017,4.2
Gali Guleiyan,Animation,2017,4.2
Middleground,Animation,2017,4.2
Inferno d'August Strindberg,Animation,2017,4.2
All About the Money,Animation,2017,4.2
Alien: Covenant,Animation,2017,4.2
Fraternitas,Animation,2017,4.2
The Golden Calf,Animation,2017,4.2
The Lovely Rejects,Animation,2017,4.2
Urfin Dzhyus i ego derevyannye soldaty,Animation,2017,4.8
Love Beats Rhymes,Animation,2017,4.8
Révélation,Animation,2017,4.8
The Death of Stalin,Animation,2017,4.8
Mad to Be Normal,Animation,2017,4.8
Shuddhi,Animation,2017,4.8
Nine Seconds,Animation,2017,4.8
Cloudboy,Animation,2017,4.8
OtherLife,Animation,2017,4.8
Un profil pour deux,Animation,2017,4.8
Domain,Animation,2017,4.8
Once Upon a Time in Venice,Animation,2017,4.8
Pazúcus: A Ilha do Desarrego,Animation,2017,4.8
It Comes at Night,Animation,2017,4.8
Thodi Thodi Si Manmaaniyan,Animation,2017,4.8
Nails,Animation,2017,4.8
Good Day,Animation,2017,4.8
Moualla,Animation,2017,4.8
Charlotte Wakes,Animation,2017,4.8
AranyaDeb,Animation,2017,4.8
Michael's Ride,Animation,2017,4.8
