movie_name,genre,year,rating
La Telenovela Errante, Drama,2017,6.8
Bigfoot, Drama,2017,6.8
Joe Finds Grace, Drama,2017,6.8
Bunyan and Babe, Drama,2017,6.8
The Evil Within, Drama,2017,6.8
Sludge, Drama,2017,6.8
Wonder Woman, Drama,2017,6.8
The Only Living Boy in New York, Drama,2017,6.8
Suburbicon, Drama,2017,6.8
Tulip Fever, Drama,2017,6.8
CHIPS, Drama,2017,6.8
Rings, Drama,2017,6.8
Krystal, Drama,2017,6.8
The Dot Man, Drama,2017,6.8
Joe Dick, Drama,2017,6.8
Justice League, Drama,2017,6.8
The Method, Drama,2017,6.8
Gunned Down, Drama,2017,6.8
Cold Skin, Drama,2017,6.8
Havana, Habana, Drama,2017,6.8
Intent, Drama,2017,6.8
2:22, Drama,2017,6.8
Basmati Blues, Drama,2017,6.8
Jeepers Creepers 3, Drama,2017,6.8
Ana y Bruno, Drama,2017,6.8
Ghost in the Shell, Drama,2017,6.8
Retina, Drama,2017,6.8
Alexander Jamieson, Drama,2017,6.8
Same Kind of Different as Me, Drama,2017,6.8
The Wishing Tree, Drama,2017,6.8
Death Note, Drama,2017,6.8
The Intruders, Drama,2017,6.8
Chokorêto derinjâ, Drama,2017,6.8
Sidney Hall, Drama,2017,6.8
xXx: Return of Xander Cage, Drama,2017,6.8
Cruelty, Drama,2017,6.8
Locked Away, Drama,2017,6.8
The Last Revenants, Drama,2017,6.8
Drowning, Drama,2017,6.8
Blood Honey, Drama,2017,6.8
Shimmer Lake, Drama,2017,6.8
Downsizing, Drama,2017,6.8
It, Drama,2017,6.8
Table 19, Drama,2017,6.8
Truth, Drama,2017,6.8
Kidnap, Drama,2017,6.8
When the Devil Comes, Drama,2017,6.8
Baywatch, Drama,2017,6.8
The Greatest Showman, Drama,2017,6.8
An Actor's Life (Less Ordinary), Drama,2017,6.8
All I Wish, Drama,2017,5.0
We Are Family, Drama,2017,5.0
Cin geçidi, Drama,2017,5.0
The Tribes of Palos Verdes, Drama,2017,5.0
What Happened to Monday, Drama,2017,5.0
Voice from the Stone, Drama,2017,5.0
Breath, Drama,2017,5.0
Please Dont Speak Anymore, Drama,2017,5.0
South Dakota, Drama,2017,5.0
Fortune's 500, Drama,2017,5.0
The Foreigner, Drama,2017,5.0
Sickness, Drama,2017,5.0
La mélodie, Drama,2017,5.0
Scary Story Slumber Party, Drama,2017,5.0
Dark Ascension, Drama,2017,5.0
Secret in Provence, Drama,2017,5.0
The Dark Tower, Drama,2017,5.0
Goodbye Christopher Robin, Drama,2017,5.0
Videotape, Drama,2017,5.0
All Eyez on Me, Drama,2017,5.0
On Chesil Beach, Drama,2017,5.0
An American in Texas, Drama,2017,5.0
The Stolen, Drama,2017,5.0
Serdtse vraga, Drama,2017,5.0
Before I Fall, Drama,2017,5.0
Blood Redd, Drama,2017,5.0
Technically Crazy, Drama,2017,5.0
Souleater, Drama,2017,5.0
Le jeune Karl Marx, Drama,2017,5.0
Trafficked, Drama,2017,5.0
Beyond Skyline, Drama,2017,5.0
Guns Guitars and a Badge.., Drama,2017,5.0
The Bag, Drama,2017,5.0
Het Tweede Gelaat, Drama,2017,5.0
The Zookeeper's Wife, Drama,2017,5.0
Unlocked, Drama,2017,5.0
Mesteren, Drama,2017,5.0
A Dog's Purpose, Drama,2017,5.0
The Snowman, Drama,2017,5.0
The Pod, Drama,2017,5.0
Nigde, Drama,2017,5.0
Wilson, Drama,2017,5.0
McDick, Drama,2017,5.0
An Ordinary Man, Drama,2017,5.0
The Vault, Drama,2017,5.0
Haunted Maze, Drama,2017,5.0
Pirates of the Caribbean: Dead Men Tell No Tales, Drama,2017,5.0
Spreading Darkness, Drama,2017,5.0
Golmaal Again, Drama,2017,5.0
The Extra, Drama,2017,5.0
Life of the Party, Drama,I) (2017,7.3
Dream Wagon, Drama,I) (2017,7.3
Lady of the Damned Forest, Drama,I) (2017,7.3
Radical, Drama,I) (2017,7.3
Blade Runner 2049, Drama,I) (2017,7.3
Khibula, Drama,I) (2017,7.3
Crooked House, Drama,I) (2017,7.3
Insomnium, Drama,I) (2017,7.3
Tracy, Drama,I) (2017,7.3
Taught in Cold Blood, Drama,I) (2017,7.3
Cider Springs Slaughter, Drama,I) (2017,7.3
Kodachrome, Drama,I) (2017,7.3
Battlecreek, Drama,I) (2017,7.3
Shepherd, Drama,I) (2017,7.3
The Hunting of the Snark, Drama,I) (2017,7.3
Ulrike's Brain, Drama,I) (2017,7.3
Blind, Drama,I) (2017,7.3
Overdrive, Drama,I) (2017,7.3
Amityville: The Awakening, Drama,I) (2017,7.3
Some Say Chance, Drama,I) (2017,7.3
Torpor Revisitado, Drama,I) (2017,7.3
Hit a Lick, Drama,I) (2017,7.3
The Hitman's Bodyguard, Drama,I) (2017,7.3
American Assassin, Drama,I) (2017,7.3
Father Figures, Drama,I) (2017,7.3
King Arthur: Legend of the Sword, Drama,I) (2017,7.3
Geostorm, Drama,I) (2017,7.3
Naufragé volontaire, Drama,I) (2017,7.3
The Upside, Drama,I) (2017,7.3
Gigante, Drama,I) (2017,7.3
The Bang Bang Brokers, Drama,I) (2017,7.3
And Then I Go, Drama,I) (2017,7.3
My Name Is Lenny, Drama,I) (2017,7.3
Flatliners, Drama,I) (2017,7.3
Star Raiders: The Adventures of Saber Raine, Drama,I) (2017,7.3
Never Here, Drama,I) (2017,7.3
The Unseen, Drama,I) (2017,7.3
A Vida do Avesso, Drama,I) (2017,7.3
Song to Song, Drama,I) (2017,7.3
Penny Land, Drama,I) (2017,7.3
Ingen så fin som du, Drama,I) (2017,7.3
SPIT: The Story of a Caveman and a Chicken, Drama,I) (2017,7.3
Sleepless, Drama,I) (2017,7.3
Rearview, Drama,I) (2017,7.3
This Is Your Death, Drama,I) (2017,7.3
Black Butterfly, Drama,I) (2017,7.3
Captain Underpants: The First Epic Movie, Drama,I) (2017,7.3
Johnny Christ, Drama,I) (2017,7.3
A People of Silence, Drama,I) (2017,7.3
Kessler's Lab, Drama,I) (2017,7.3
Rememory,Drama,2017,6.2
The Milkman,Drama,2017,6.2
Snatched,Drama,2017,6.2
Pop, Lock 'n Roll,Drama,2017,6.2
Bottom of the World,Drama,2017,6.2
Without Ward,Drama,2017,6.2
Unicorn Store,Drama,2017,6.2
Empire of the Heart,Drama,2017,6.2
The Mummy,Drama,2017,6.2
The Cheaters Club,Drama,2017,6.2
Parinaaz,Drama,2017,6.2
Brick Madness,Drama,2017,6.2
Surprise,Drama,2017,6.2
Three from the Block,Drama,2017,6.2
Chicanery,Drama,2017,6.2
Shadow of the Monarch,Drama,2017,6.2
Beautiful Garden,Drama,2017,6.2
Ekimmu: The Dead Lust,Drama,2017,6.2
An American Dog Story,Drama,2017,6.2
All Summers End,Drama,2017,6.2
Into the Rainbow,Drama,2017,6.2
Gas Light,Drama,2017,6.2
The Glass Castle,Drama,2017,6.2
Blackmail,Drama,2017,6.2
Coco,Drama,2017,6.2
Proper Binge,Drama,2017,6.2
After the Wedding,Drama,2017,6.2
Modern Life Is Rubbish,Drama,2017,6.2
Yakhonty. Ubiystvo,Drama,2017,6.2
High on the Hog,Drama,2017,6.2
Journey to the Forbidden Valley,Drama,2017,6.2
Love or War,Drama,2017,6.2
Super Mehra Bros,Drama,2017,6.2
Big Hair, Long Lashes,Drama,2017,6.2
Ex-Kid,Drama,2017,6.2
Refuge,Drama,2017,6.2
The Garden,Drama,2017,6.2
Five Fingers for Marseilles,Drama,2017,6.2
Mudbound,Drama,2017,6.2
Smurfs: The Lost Village,Drama,2017,6.2
Rock, Paper, Scissors (R.P.S.),Drama,2017,6.2
Lost Diagnosis,Drama,2017,6.2
Veil,Drama,2017,6.2
Atomic Blonde,Drama,2017,6.2
Goon: Last of the Enforcers,Drama,2017,6.2
The Guest House,Drama,2017,6.2
The Ghost and The Whale,Drama,2017,6.2
Bender,Drama,2017,6.2
Girlfriends,Drama,2017,6.2
Scrambled,Drama,2017,6.2
The Execution of Nigel Harris,Drama,2017,5.4
The Night Reign Fell to New Orleans,Drama,2017,5.4
What Separates Us,Drama,2017,5.4
A Ilha dos Cães,Drama,2017,5.4
Manifestation,Drama,2017,5.4
T2 Trainspotting,Drama,2017,5.4
Lady Bug,Drama,2017,5.4
Beauty and the Beast,Drama,2017,5.4
Iris,Drama,2017,5.4
The Endless Flight,Drama,2017,5.4
Accidental Muse,Drama,2017,5.4
Thank You for Your Service,Drama,2017,5.4
Vanocni rezy,Drama,2017,5.4
China Test Girls,Drama,2017,5.4
Ali's Wedding,Drama,2017,5.4
Xibalba,Drama,2017,5.4
An Ornament of Faith,Drama,2017,5.4
Bigger Than the Beatles,Drama,2017,5.4
Desde el más allá,Drama,2017,5.4
Gatwick Gangsters,Drama,2017,5.4
The Seventh Commandment,Drama,2017,5.4
Razor,Drama,2017,5.4
Inside You,Drama,2017,5.4
Beyond the Known World,Drama,2017,5.4
Azul Magia,Drama,2017,5.4
Fear and Love,Drama,2017,5.4
Mississippi Murder,Drama,2017,5.4
The Girl Who Invented Kissing,Drama,2017,5.4
Sunday Morning Rapture,Drama,2017,5.4
The Bigfoot Project,Drama,2017,5.4
Under the Dark,Drama,2017,5.4
The Shack,Drama,2017,5.4
An Appointment with Mr. Vield,Drama,2017,5.4
Rednecks,Drama,2017,5.4
Maybe Someday,Drama,2017,5.4
Monongahela,Drama,2017,5.4
Paranormal Highway,Drama,2017,5.4
Carlos Gustavo,Drama,2017,5.4
Contineo,Drama,2017,5.4
Blood Hunt,Drama,2017,5.4
Alex & The List,Drama,2017,5.4
Repatriation,Drama,2017,5.4
Invasion of the Undead,Drama,2017,5.4
