movie_name,genre,year,rating
The Golden Age,Musical,2017,6.0
Deep Burial,Musical,2017,6.0
Blue Mountains,Musical,2017,6.0
Moscow Never Sleeps,Musical,2017,6.0
After Love,Musical,2017,6.0
Walk of Fame,Musical,2017,6.0
Division 19,Musical,2017,6.0
Granny of the Dead,Musical,2017,6.0
Bruja,Musical,2017,6.0
Madraza,Musical,2017,6.0
Needlestick,Musical,2017,6.0
Star Wars: Episode VIII - The Last Jedi,Musical,2017,6.0
Keep Watching,Musical,2017,6.0
Wonder,Musical,2017,6.0
Jake's Road,Musical,2017,6.0
Hurricane Chasers,Musical,2017,6.0
Skybound,Musical,2017,6.0
Dead Giveaway: The Motion Picture,Musical,2017,6.0
Going in Style,Musical,2017,6.0
Moon Creek Cemetery,Musical,2017,6.0
Until We Meet Again,Musical,2017,6.0
Sweet Virginia,Musical,2017,6.0
Sand Castle,Musical,2017,6.0
Flower,Musical,2017,6.0
Discarnate,Musical,2017,6.0
American Bistro,Musical,2017,6.0
Le Fidèle,Musical,2017,6.0
44 at Melrose,Musical,2017,6.0
The Further Adventures of Anse and Bhule in No-man's Land,Musical,2017,6.0
The Outcasts,Musical,2017,6.0
Broken Chains,Musical,2017,6.0
Verdwijnen,Musical,2017,6.0
Lotanna,Musical,2017,6.0
Leatherface,Musical,2017,6.0
Closer to Bottom,Musical,2017,6.0
One Dark Secret,Musical,2017,6.0
The Ascent,Musical,2017,6.0
A Crack in Everything,Musical,2017,6.0
Kill or be Killed,Musical,2017,6.0
I Hate You,Musical,2017,6.0
Ezer Kenegdo,Musical,2017,6.0
Little Notes to Heaven,Musical,2017,6.0
Austin Found,Musical,2017,6.0
The Hunter's Prayer,Musical,2017,6.0
Churchill,Musical,2017,6.0
Life Changes Everything: Discover Zac Ryan,Musical,2017,6.0
El Ganador,Musical,2017,6.0
My Time To Go,Musical,2017,6.0
Submission,Musical,2017,6.0
Holed-Up,Musical,2017,6.0
Hip Hop City,Musical,2017,6.5
Cometa: Him, His Dog and their World,Musical,2017,6.5
Dwoje biednych Rumunow mowiacych po Polsku,Musical,2017,6.5
Por Onde Escapam As Palavras,Musical,2017,6.5
Ayana,Musical,2017,6.5
A Fera na Selva,Musical,2017,6.5
Alien Reign of Man,Musical,2017,6.5
Juego siniestro,Musical,2017,6.5
18 Hours,Musical,2017,6.5
Napoli velata,Musical,2017,6.5
Il premio,Musical,2017,6.5
Last Thug Standing,Musical,2017,6.5
La ragazza nella nebbia,Musical,2017,6.5
Something to Lose,Musical,2017,6.5
Shreelancer,Musical,2017,6.5
My Little Baby, Jaya,Musical,2017,6.5
Irritable,Musical,2017,6.5
The Day I Met Her,Musical,2017,6.5
Unfinished Business,Musical,2017,6.5
Pirates 1.0,Musical,2017,6.5
The Savage Tales of Frank MacGuffin,Musical,2017,6.5
The Lonesome,Musical,2017,6.5
Sonata,Musical,2017,6.5
