movie_name,genre,year,rating
Rememory, Sci-Fi,2017,6.2
The Milkman, Sci-Fi,2017,6.2
Snatched, Sci-Fi,2017,6.2
Pop, Lock 'n Roll, Sci-Fi,2017,6.2
Bottom of the World, Sci-Fi,2017,6.2
Without Ward, Sci-Fi,2017,6.2
Unicorn Store, Sci-Fi,2017,6.2
Empire of the Heart, Sci-Fi,2017,6.2
The Mummy, Sci-Fi,2017,6.2
The Cheaters Club, Sci-Fi,2017,6.2
Parinaaz, Sci-Fi,2017,6.2
Brick Madness, Sci-Fi,2017,6.2
Surprise, Sci-Fi,2017,6.2
Three from the Block, Sci-Fi,2017,6.2
Chicanery, Sci-Fi,2017,6.2
Shadow of the Monarch, Sci-Fi,2017,6.2
Beautiful Garden, Sci-Fi,2017,6.2
Ekimmu: The Dead Lust, Sci-Fi,2017,6.2
An American Dog Story, Sci-Fi,2017,6.2
All Summers End, Sci-Fi,2017,6.2
Into the Rainbow, Sci-Fi,2017,6.2
Gas Light, Sci-Fi,2017,6.2
The Glass Castle, Sci-Fi,2017,6.2
Blackmail, Sci-Fi,2017,6.2
Coco, Sci-Fi,2017,6.2
Proper Binge, Sci-Fi,2017,6.2
After the Wedding, Sci-Fi,2017,6.2
Modern Life Is Rubbish, Sci-Fi,2017,6.2
Yakhonty. Ubiystvo, Sci-Fi,2017,6.2
High on the Hog, Sci-Fi,2017,6.2
Journey to the Forbidden Valley, Sci-Fi,2017,6.2
Love or War, Sci-Fi,2017,6.2
Super Mehra Bros, Sci-Fi,2017,6.2
Big Hair, Long Lashes, Sci-Fi,2017,6.2
Ex-Kid, Sci-Fi,2017,6.2
Refuge, Sci-Fi,2017,6.2
The Garden, Sci-Fi,2017,6.2
Five Fingers for Marseilles, Sci-Fi,2017,6.2
Mudbound, Sci-Fi,2017,6.2
Smurfs: The Lost Village, Sci-Fi,2017,6.2
Rock, Paper, Scissors (R.P.S.), Sci-Fi,2017,6.2
Lost Diagnosis, Sci-Fi,2017,6.2
Veil, Sci-Fi,2017,6.2
Atomic Blonde, Sci-Fi,2017,6.2
Goon: Last of the Enforcers, Sci-Fi,2017,6.2
The Guest House, Sci-Fi,2017,6.2
The Ghost and The Whale, Sci-Fi,2017,6.2
Bender, Sci-Fi,2017,6.2
Girlfriends, Sci-Fi,2017,6.2
Scrambled, Sci-Fi,2017,6.2
Novyy mir, Sci-Fi,2017,5.7
Não Devore Meu Coração, Sci-Fi,2017,5.7
João, o Maestro, Sci-Fi,2017,5.7
Vele Hemels, Sci-Fi,2017,5.7
Mukoku, Sci-Fi,2017,5.7
Ti proteggerò, Sci-Fi,2017,5.7
Jackals, Sci-Fi,2017,5.7
Ramaleela, Sci-Fi,2017,5.7
El silencio del viento, Sci-Fi,2017,5.7
JoJo no kimyô na bôken: Daiyamondo wa kudakenai - dai-isshô, Sci-Fi,2017,5.7
Rasuto koppu: The Movie, Sci-Fi,2017,5.7
Fiksiki: Bolshoy sekret, Sci-Fi,2017,5.7
Hirugao, Sci-Fi,2017,5.7
La educación del Rey, Sci-Fi,2017,5.7
